"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","Consensus"
"00087b2b4f65c943f6dec495bb497c34","Eukaryota","SAR","Stramenopiles","Labyrinthulomycetes","Thraustochytriaceae","Aplanochytrium","Aplanochytrium sp. ANT10.3","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"002073358d1c5c807846cf7c9366e358","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00253f990c9fcf9414d6252fcf5d0533","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Schizostauron sp.","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00308333888a4a94a3e7d64bbb64f637","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Capnodiales","Capnobotryella sp. MA 4659","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"003f247d941ea766158233b82a232faa","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Monhysterida","Linhomoeina","Linhomoeina_infraorder","Siphonolaimoidea","Linhomoeidae","Terschellingia","1"
"004692a52c463110b900a42eb6d86940","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00473d8df0ec481263eb1a495ef1428b","Eukaryota","SAR","Stramenopiles","Labyrinthulomycetes","Thraustochytriaceae","Thraustochytrium","Oblongichytrium sp. PBS05","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0064cdfc3ee7663eade6db93400f3821","Eukaryota","Amorphea","Amoebozoa","Discosea","Flabellinia","Dactylopodida","Paramoeba","Paramoeba aestuarina","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"006c20c065e1189c2837df4838f7d445","Eukaryota","Archaeplastida","Chloroplastida","Charophyta","Phragmoplastophyta","Streptophyta","Embryophyta","Tracheophyta","Spermatophyta","Magnoliophyta","Allium cepa (onion)","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00874d225612c42b5cf46246c21aee42","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Skeletonema sp.","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00a9104c100235f5630ce2ff5eb30a91","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCP clade","Bilateria","Protostomia","Ecdysozoa","Arthropoda","Crustacea","Maxillopoda","Copepoda","Harpacticoida","Dactylopusia sp. New Caledonia-RJH-2007","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00b0e3279027ace6e854b20f97fc49de","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Cryptomycota","Incertae Sedis","Incertae Sedis","Incertae Sedis","Incertae Sedis","Paramicrosporidium","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00b5437fbb650a720a39f9f5b08b9443","Eukaryota","SAR","Rhizaria","Cercozoa","Thecofilosea","uncultured","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00be24636686384b88a737392dbfce37","Eukaryota","SAR","Rhizaria","Cercozoa","Phytomyxea","Maullinia","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00cb4db5f7fd985608620ed34facddaa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00dc871b3e1961ae8d6ccf2c1d38ec08","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00dd98f1ed6c0d4300441df01052b7d2","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Alexandrium","Alexandrium sp. CCMP1911","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00e1f1ae671a8834c45591c42aa60933","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Skeletonema sp.","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00f67e1699b96827e29d64cfd96d3a63","Eukaryota","Amorphea","Amoebozoa","Incertae Sedis","Breviatea","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"00f870eb8f2a7b418651b4c4015e8e78","Eukaryota","SAR","Alveolata","Apicomplexa","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0101b83dffb17372e526f107c8621a22","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreales","Cordycipitaceae","Isaria","Cordyceps cateniobliqua","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0108ee67c434c27d08a9dc193bdad097","Eukaryota","Incertae Sedis","Palpitomonas","uncultured dinoflagellate","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"012517d67eb4cd28bf69b5f05ea735bb","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophysiales","Sinophysis","uncultured marine eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0128dd045686b8beefc0d80774dd5e00","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"012d38bffd3965749fcd211d0785265e","Eukaryota","Amorphea","Amoebozoa","Incertae Sedis","Breviatea","NAMAKO-2","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"01333800897531088516c75ca8d7f8c0","Eukaryota","SAR","Stramenopiles","MAST-1","MAST-1C","eukaryote marine clone ME1-22","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"013882f6044584a9356dc4b58eb411a8","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreales","Clavicipitaceae","Pochonia","Pochonia chlamydosporia","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"013cfc8dd0a6ed7be0f2b63e38eb0ee4","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"014bc2083f18439f507c10830c775f2b","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Suessiaceae","Pelagodinium","uncultured Gymnodinium","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"014cd53c254ba07ab46285edb7373a40","Eukaryota","SAR","Alveolata","Apicomplexa","Conoidasida","Cryptosporida","Cryptosporidium","Colpodella tetrahymenae","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"014f82bb8a268d442998c23ae67d500b","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Saccharomycotina","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Barnettozyma-Candida clade","Barnettozyma pratensis","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0157ae7c597882b3497c74eda832027b","Eukaryota","SAR","Rhizaria","Cercozoa","Thecofilosea","uncultured","uncultured Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"016078a3406cfc46fd1640a14e24c1c8","Eukaryota","Archaeplastida","Chloroplastida","Charophyta","Phragmoplastophyta","Streptophyta","Embryophyta","Tracheophyta","Spermatophyta","Magnoliophyta","Zostera marina","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"016ab2e0f942d2c08268febed026e155","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"017b48e2f80b4bbb01b2df9f3226f3c4","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","uncultured fungus","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"018731b73de18cd22e67fc3919dc64b4","Eukaryota","SAR","Rhizaria","Cercozoa","Imbricatea","Silicofilosea","Thaumatomonadida","Peregriniidae","D2P04A09","uncultured marine picoeukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0189eabe7ec54d211b5b245f68ad0aa7","Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Syndiniales Group I","uncultured marine eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"018c48b0ce522ba091adff3081a4b2a1","Eukaryota","SAR","Rhizaria","Cercozoa","Vampyrellidae","uncultured","Vampyrellida sp. En42C","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"018f3b9abff3e5406057acdac118569e","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Ulvophyceae","Ulva linza","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"01a1df537099ec6d66ece5df3787e880","Eukaryota","SAR","Rhizaria","Cercozoa","Cercomonadidae","Cavernomonas","Cavernomonas stercoris","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"01a230c5dc4fe7fd393d961c362be249","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Chytridiomycota","Incertae Sedis","Chytridiomycetes","Spizellomycetales","uncultured","uncultured Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"01a29ac26972d537ba193a081ae20c79","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"01b6ccf30a8e695a6e715277c8f93514","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Araeolaimida","Araeolaimida_suborder","Araeolaimida_infraorder","Axonolaimoidea","Diplopeltidae","Neodiplopeltula","1"
"01bd4ab80cb4ba50bd38a7cd058d8c8a","Eukaryota","SAR","Rhizaria","Cercozoa","uncultured","uncultured marine eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"01bf56aef7d09068a4d06e17cf2ab727","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Mamiellophyceae","DSGM-81","uncultured Chlorophyta","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"01c7c80d42392815094ab96c84e3ed7d","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCP clade","Bilateria","Protostomia","Ecdysozoa","Arthropoda","Crustacea","Ostracoda","Podocopa","Podocopida","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","1"
"01ccd61df396eb12fb4ef9118c268afb","Eukaryota","SAR","Stramenopiles","Peronosporomycetes","Pythium","Pythium monospermum","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"01e29429a7befa59bbd5f3fd508cf54c","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Chromadorida","Chromadorina","Chromadorina_infraorder","Chromadoroidea","Chromadoridae","Spilophorella","1"
"021557d640b83861437bfd9b7a2696e2","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium","Purpureocillium lilacinum (nematode egg-parasitic fungus)","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02169a712ab103207d2f8ebf8e594129","Eukaryota","Archaeplastida","Chloroplastida","Charophyta","Phragmoplastophyta","Streptophyta","Embryophyta","Tracheophyta","Lycopodiophyta","Isoetales","Isoetaceae","Isoetes","Isoetes duriei","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"021b63a12263183335b90f63136746a2","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Suessiaceae","Ansanella","Ansanella natalensis","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0223b2dd90184bddc42e3aecce210f00","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Chromadorida","Chromadorina","Chromadorina_infraorder","Chromadoroidea","Chromadoridae","Ptycholaimellus","1"
"0223f2b2f768a43115fe9438e661fd4b","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Araeolaimida","Araeolaimida_suborder","Araeolaimida_infraorder","Axonolaimoidea","Comesomatidae","Sabatieria","1"
"0227d9babdd0e22fea7fdbdd525a5d66","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Choanoflagellata","Ichthyosporea","Dermocystida","Rhinosporideacae","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"022fd5fda1381df18f739f5f50628348","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Fistulifera","Navicula sp. JB16","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0237cfdf96b920bcd7fb9c7f21f9e1b1","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Thalassiosira","Minidiscus sp.","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"023e5e1c973db09f9f0c91da09ae4395","Eukaryota","SAR","Stramenopiles","MAST-12","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0260d877b4b0ca66f026e5fe505623da","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","uncultured fungus","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0261ae6d271c0220b49e3535da9199ce","Eukaryota","SAR","Rhizaria","Cercozoa","Thecofilosea","Ebriacea","Ebria","uncultured Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"026557b889ad862e637247709f0fda49","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Enoplea","Enoplia","Enoplida","Enoplina","Enoplina_infraorder","Enoploidea","Thoracostomopsidae","Oxyonchus","1"
"0278e694540bc20ad22408ddcadf696e","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Cryptomycota","LKM11","uncultured Banisveld eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"027aa97041fb9b19b476733c45c135d9","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Enoplea","Enoplia","Enoplida","Enoplina","Enoplina_infraorder","Enoploidea","Anticomidae","Anticoma","1"
"027e249286e1b46552a6c56a85776b2a","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Monhysterida","Linhomoeina","Linhomoeina_infraorder","Siphonolaimoidea","Linhomoeidae","Terschellingia","1"
"0289a8d6f6fa4917d08ac6c11a8da72a","Eukaryota","SAR","Alveolata","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Aspidisca","uncultured ciliate","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"028a37ad6505da5d9df96961aec21a33","Eukaryota","SAR","Stramenopiles","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Thalassiosira","Thalassiosira delicatula","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"028a83bd97b4e46fa57b0f5a999d10b2","Eukaryota","SAR","Rhizaria","Cercozoa","Thecofilosea","Cryomonadida","Protaspidae","Cryothecomonas","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02924d802ccd93e2828e10be1077a147","Eukaryota","SAR","Rhizaria","Cercozoa","Imbricatea","Silicofilosea","Euglyphida","Paulinellidae","Paulinella","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"029e6a8b0aba78e1bb7995752518162d","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Plectida","Plectina","Plectina_infraorder","Camacolaimoidea","Camacolaimidae","Deontolaimus","1"
"02a1c6924411d1095c6736ad433fd076","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Enoplea","Enoplia","Enoplida","Enoplina","Enoplina_infraorder","Enoploidea","Anticomidae","Anticoma","1"
"02a6f3a26fe2b893c5026a9ae2b2185c","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium clade","Gymnoxanthella","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02a97447e620c06d1506a26afba61666","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Desmodorida","Desmodorina","Desmodorina_infraorder","Desmodoroidea","Desmodoridae","Chromadoropsis","1"
"02adb31a9f206afc66d558df076d289a","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Mucoromycota","Mortierellomycotina","Incertae Sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella wolfii","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02b4d97b6714897ded76f06e0bdab424","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Araeolaimida","Araeolaimida_suborder","Araeolaimida_infraorder","Axonolaimoidea","Comesomatidae","Sabatieria","1"
"02d1d650f77d23f5b1387cfb820cc6d9","Eukaryota","Amorphea","Amoebozoa","Incertae Sedis","Breviatea","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02dcb681731331288da10206b8c94bd3","Eukaryota","SAR","Rhizaria","Cercozoa","Thecofilosea","uncultured","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02de4547fca95278585b52763736914f","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Mucoromycota","Mucoromycotina","Incertae Sedis","Endogonales","Endogonaceae","uncultured","uncultured Eimeriidae","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02e6067d946e08e8a9308fd278428d07","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorophyceae","Coelastrum astroideum var. rugosum","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02e97b417281413d52e09986ff9f721e","Eukaryota","SAR","Alveolata","Ciliophora","Intramacronucleata","Conthreep","Prostomatea","Prorodon","Prorodon teres","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02eefc9bae6675ca54f3c3897b08a31e","Eukaryota","SAR","Rhizaria","Cercozoa","Thecofilosea","uncultured","uncultured Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"02f383321fa35a71d1b68ad704e7b017","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Chromadorida","Chromadorina","Chromadorina_infraorder","Chromadoroidea","Chromadoridae","Dichromadora","1"
